#,Symbol,Company,Index,Unnamed: 4,Unnamed: 5,Unnamed: 6
1.0,NVDA,Nvidia,S&P500,,,
2.0,AAPL,Apple Inc.,S&P500,,,
3.0,MSFT,Microsoft,S&P500,,,
4.0,AMZN,Amazon,S&P500,,,
5.0,GOOGL,Alphabet Inc. (Class A),S&P500,,,
6.0,GOOG,Alphabet Inc. (Class C),S&P500,,,
7.0,META,Meta Platforms,S&P500,,,
8.0,AVGO,Broadcom,S&P500,,,
9.0,TSLA,"Tesla, Inc.",S&P500,,,
10.0,BRK.B,Berkshire Hathaway,S&P500,,,
11.0,WMT,Walmart,S&P500,,,
12.0,LLY,Lilly (Eli),S&P500,,,
13.0,JPM,JPMorgan Chase,S&P500,,,
14.0,V,Visa Inc.,S&P500,,,
15.0,XOM,ExxonMobil,S&P500,,,
16.0,JNJ,Johnson & Johnson,S&P500,,,
17.0,MU,Micron Technology,S&P500,,,
18.0,MA,Mastercard,S&P500,,,
19.0,COST,Costco,S&P500,,,
20.0,ORCL,Oracle Corporation,S&P500,,,
21.0,ABBV,AbbVie,S&P500,,,
22.0,BAC,Bank of America,S&P500,,,
23.0,HD,Home Depot (The),S&P500,,,
24.0,PG,Procter & Gamble,S&P500,,,
25.0,CVX,Chevron Corporation,S&P500,,,
26.0,GE,GE Aerospace,S&P500,,,
27.0,CAT,Caterpillar Inc.,S&P500,,,
28.0,KO,Coca-Cola Company (The),S&P500,,,
29.0,NFLX,Netflix,S&P500,,,
30.0,AMD,Advanced Micro Devices,S&P500,,,
31.0,PLTR,Palantir Technologies,S&P500,,,
32.0,CSCO,Cisco,S&P500,,,
33.0,LRCX,Lam Research,S&P500,,,
34.0,MRK,Merck & Co.,S&P500,,,
35.0,AMAT,Applied Materials,S&P500,,,
36.0,PM,Philip Morris International,S&P500,,,
37.0,MS,Morgan Stanley,S&P500,,,
38.0,GS,Goldman Sachs,S&P500,,,
39.0,RTX,RTX Corporation,S&P500,,,
40.0,WFC,Wells Fargo,S&P500,,,
41.0,UNH,UnitedHealth Group,S&P500,,,
42.0,IBM,IBM,S&P500,,,
43.0,AXP,American Express,S&P500,,,
44.0,TMUS,T-Mobile US,S&P500,,,
45.0,MCD,McDonald's,S&P500,,,
46.0,LIN,Linde plc,S&P500,,,
47.0,PEP,PepsiCo,S&P500,,,
48.0,GEV,GE Vernova,S&P500,,,
49.0,INTC,Intel,S&P500,,,
50.0,VZ,Verizon,S&P500,,,
51.0,C,Citigroup,S&P500,,,
52.0,AMGN,Amgen,S&P500,,,
53.0,TXN,Texas Instruments,S&P500,,,
54.0,KLAC,KLA Corporation,S&P500,,,
55.0,T,AT&T,S&P500,,,
56.0,ABT,Abbott Laboratories,S&P500,,,
57.0,NEE,NextEra Energy,S&P500,,,
58.0,TMO,Thermo Fisher Scientific,S&P500,,,
59.0,GILD,Gilead Sciences,S&P500,,,
60.0,DIS,Walt Disney Company (The),S&P500,,,
61.0,APH,Amphenol,S&P500,,,
62.0,BA,Boeing,S&P500,,,
63.0,DE,Deere & Company,S&P500,,,
64.0,ISRG,Intuitive Surgical,S&P500,,,
65.0,TJX,TJX Companies,S&P500,,,
66.0,CRM,Salesforce,S&P500,,,
67.0,ADI,Analog Devices,S&P500,,,
68.0,BLK,BlackRock,S&P500,,,
69.0,ANET,Arista Networks,S&P500,,,
70.0,SCHW,Charles Schwab Corporation,S&P500,,,
71.0,UNP,Union Pacific Corporation,S&P500,,,
72.0,LOW,Lowe's,S&P500,,,
73.0,HON,Honeywell,S&P500,,,
74.0,QCOM,Qualcomm,S&P500,,,
75.0,UBER,Uber,S&P500,,,
76.0,PFE,Pfizer,S&P500,,,
77.0,LMT,Lockheed Martin,S&P500,,,
78.0,DHR,Danaher Corporation,S&P500,,,
79.0,SYK,Stryker Corporation,S&P500,,,
80.0,WELL,Welltower,S&P500,,,
81.0,ETN,Eaton Corporation,S&P500,,,
82.0,APP,AppLovin Corporation,S&P500,,,
83.0,COP,ConocoPhillips,S&P500,,,
84.0,NEM,Newmont,S&P500,,,
85.0,ACN,Accenture,S&P500,,,
86.0,PLD,Prologis,S&P500,,,
87.0,BKNG,Booking Holdings,S&P500,,,
88.0,COF,Capital One,S&P500,,,
89.0,CB,Chubb Limited,S&P500,,,
90.0,PH,Parker Hannifin,S&P500,,,
91.0,SPGI,S&P Global,S&P500,,,
92.0,MDT,Medtronic,S&P500,,,
93.0,BMY,Bristol Myers Squibb,S&P500,,,
94.0,VRTX,Vertex Pharmaceuticals,S&P500,,,
95.0,PANW,Palo Alto Networks,S&P500,,,
96.0,GLW,Corning Inc.,S&P500,,,
97.0,PGR,Progressive Corporation,S&P500,,,
98.0,HCA,HCA Healthcare,S&P500,,,
99.0,MCK,McKesson Corporation,S&P500,,,
100.0,MO,Altria,S&P500,,,
101.0,CMCSA,Comcast,S&P500,,,
102.0,SBUX,Starbucks,S&P500,,,
103.0,CME,CME Group,S&P500,,,
104.0,BSX,Boston Scientific,S&P500,,,
105.0,NOW,ServiceNow,S&P500,,,
106.0,CEG,Constellation Energy,S&P500,,,
107.0,ADBE,Adobe Inc.,S&P500,,,
108.0,INTU,Intuit,S&P500,,,
109.0,SO,Southern Company,S&P500,,,
110.0,HWM,Howmet Aerospace,S&P500,,,
111.0,TT,Trane Technologies,S&P500,,,
112.0,NOC,Northrop Grumman,S&P500,,,
113.0,UPS,United Parcel Service,S&P500,,,
114.0,DUK,Duke Energy,S&P500,,,
115.0,CRWD,CrowdStrike,S&P500,,,
116.0,CVS,CVS Health,S&P500,,,
117.0,NKE,"Nike, Inc.",S&P500,,,
118.0,WDC,Western Digital,S&P500,,,
119.0,SNDK,Sandisk Corporation,S&P500,,,
120.0,GD,General Dynamics,S&P500,,,
121.0,BX,Blackstone Inc.,S&P500,,,
122.0,PNC,PNC Financial Services,S&P500,,,
123.0,WM,Waste Management,S&P500,,,
124.0,FCX,Freeport-McMoRan,S&P500,,,
125.0,MAR,Marriott International,S&P500,,,
126.0,FDX,FedEx,S&P500,,,
127.0,USB,U.S. Bancorp,S&P500,,,
128.0,EQIX,Equinix,S&P500,,,
129.0,KKR,KKR,S&P500,,,
130.0,STX,Seagate Technology,S&P500,,,
131.0,SHW,Sherwin-Williams,S&P500,,,
132.0,WMB,Williams Companies,S&P500,,,
133.0,JCI,Johnson Controls,S&P500,,,
134.0,MMM,3M,S&P500,,,
135.0,AMT,American Tower,S&P500,,,
136.0,ICE,Intercontinental Exchange,S&P500,,,
137.0,MRSH,"Marsh & McLennan Companies, Inc.",S&P500,,,
138.0,ADP,Automatic Data Processing,S&P500,,,
139.0,ECL,Ecolab,S&P500,,,
140.0,RCL,Royal Caribbean Group,S&P500,,,
141.0,ITW,Illinois Tool Works,S&P500,,,
142.0,SNPS,Synopsys,S&P500,,,
143.0,EMR,Emerson Electric,S&P500,,,
144.0,CRH,CRH plc,S&P500,,,
145.0,REGN,Regeneron Pharmaceuticals,S&P500,,,
146.0,PWR,Quanta Services,S&P500,,,
147.0,CMI,Cummins,S&P500,,,
148.0,MNST,Monster Beverage,S&P500,,,
149.0,BK,BNY Mellon,S&P500,,,
150.0,DELL,Dell Technologies,S&P500,,,
151.0,CDNS,Cadence Design Systems,S&P500,,,
152.0,CTAS,Cintas,S&P500,,,
153.0,MCO,Moody's Corporation,S&P500,,,
154.0,ORLY,O'Reilly Auto Parts,S&P500,,,
155.0,CSX,CSX Corporation,S&P500,,,
156.0,ABNB,Airbnb,S&P500,,,
157.0,MSI,Motorola Solutions,S&P500,,,
158.0,CL,Colgate-Palmolive,S&P500,,,
159.0,SLB,Schlumberger,S&P500,,,
160.0,DASH,DoorDash,S&P500,,,
161.0,ELV,Elevance Health,S&P500,,,
162.0,TDG,TransDigm Group,S&P500,,,
163.0,MDLZ,Mondelez International,S&P500,,,
164.0,CI,Cigna,S&P500,,,
165.0,GM,General Motors,S&P500,,,
166.0,KMI,Kinder Morgan,S&P500,,,
167.0,HLT,Hilton Worldwide,S&P500,,,
168.0,WBD,Warner Bros. Discovery,S&P500,,,
169.0,NSC,Norfolk Southern Railway,S&P500,,,
170.0,COR,Cencora,S&P500,,,
171.0,AEP,American Electric Power,S&P500,,,
